년도,역명,월,역번호,승차인원,하차인원,_source_file
2020,갑천,7,1115,20839,19785,대전교통공사_역별 수송실적_20211231.csv
2020,갑천,8,1115,19365,18732,대전교통공사_역별 수송실적_20211231.csv
2020,갑천,9,1115,20099,19308,대전교통공사_역별 수송실적_20211231.csv
2020,갑천,10,1115,22755,22101,대전교통공사_역별 수송실적_20211231.csv
2020,갑천,11,1115,23769,23177,대전교통공사_역별 수송실적_20211231.csv
2020,갑천,12,1115,20937,20242,대전교통공사_역별 수송실적_20211231.csv
2021,갑천,1,1115,20778,19898,대전교통공사_역별 수송실적_20211231.csv
2021,갑천,2,1115,19740,18976,대전교통공사_역별 수송실적_20211231.csv
2021,갑천,3,1115,23662,22834,대전교통공사_역별 수송실적_20211231.csv
2021,갑천,4,1115,23919,22974,대전교통공사_역별 수송실적_20211231.csv
2021,갑천,5,1115,23538,22535,대전교통공사_역별 수송실적_20211231.csv
2021,갑천,6,1115,24124,22671,대전교통공사_역별 수송실적_20211231.csv
2021,갑천,7,1115,22013,20803,대전교통공사_역별 수송실적_20211231.csv
2021,갑천,8,1115,20370,19704,대전교통공사_역별 수송실적_20211231.csv
2021,갑천,9,1115,21238,20659,대전교통공사_역별 수송실적_20211231.csv
2021,갑천,10,1115,24654,23827,대전교통공사_역별 수송실적_20211231.csv
2021,갑천,11,1115,25736,24267,대전교통공사_역별 수송실적_20211231.csv
2021,갑천,12,1115,25516,23852,대전교통공사_역별 수송실적_20211231.csv
2022,갑천,1,1115,24078,23249,대전교통공사_역별 수송실적_20221231.csv
2022,갑천,2,1115,20958,20331,대전교통공사_역별 수송실적_20221231.csv
2022,갑천,3,1115,24477,23951,대전교통공사_역별 수송실적_20221231.csv
2022,갑천,4,1115,26348,25906,대전교통공사_역별 수송실적_20221231.csv
2022,갑천,5,1115,28977,28121,대전교통공사_역별 수송실적_20221231.csv
2022,갑천,6,1115,27525,26628,대전교통공사_역별 수송실적_20221231.csv
2022,갑천,7,1115,26814,25840,대전교통공사_역별 수송실적_20221231.csv
2022,갑천,8,1115,24419,23930,대전교통공사_역별 수송실적_20221231.csv
2022,갑천,9,1115,26277,25549,대전교통공사_역별 수송실적_20221231.csv
2022,갑천,10,1115,28383,27794,대전교통공사_역별 수송실적_20221231.csv
2022,갑천,11,1115,28788,27965,대전교통공사_역별 수송실적_20221231.csv
2022,갑천,12,1115,28335,27502,대전교통공사_역별 수송실적_20221231.csv
2023,갑천,1,1115,25483,25241,대전교통공사_역별 수송실적_20231231.csv
2023,갑천,2,1115,26321,25934,대전교통공사_역별 수송실적_20231231.csv
2023,갑천,3,1115,30151,29814,대전교통공사_역별 수송실적_20231231.csv
2023,갑천,4,1115,29033,29050,대전교통공사_역별 수송실적_20231231.csv
2023,갑천,5,1115,29326,29099,대전교통공사_역별 수송실적_20231231.csv
2023,갑천,6,1115,28827,27779,대전교통공사_역별 수송실적_20231231.csv
2023,갑천,7,1115,25915,25201,대전교통공사_역별 수송실적_20231231.csv
2023,갑천,8,1115,26892,26353,대전교통공사_역별 수송실적_20231231.csv
2023,갑천,9,1115,26179,25461,대전교통공사_역별 수송실적_20231231.csv
2023,갑천,10,1115,29407,28924,대전교통공사_역별 수송실적_20231231.csv
2023,갑천,11,1115,28990,28603,대전교통공사_역별 수송실적_20231231.csv
2023,갑천,12,1115,28095,27616,대전교통공사_역별 수송실적_20231231.csv
2024,갑천,1,1115,28242,27848,대전교통공사_역별 수송실적_20241231.csv
2024,갑천,2,1115,25419,24829,대전교통공사_역별 수송실적_20241231.csv
2024,갑천,3,1115,28809,28577,대전교통공사_역별 수송실적_20241231.csv
2024,갑천,4,1115,29818,30362,대전교통공사_역별 수송실적_20241231.csv
2024,갑천,5,1115,29493,28654,대전교통공사_역별 수송실적_20241231.csv
2024,갑천,6,1115,27383,27151,대전교통공사_역별 수송실적_20241231.csv
2024,갑천,7,1115,25882,24943,대전교통공사_역별 수송실적_20241231.csv
2024,갑천,8,1115,26793,25999,대전교통공사_역별 수송실적_20241231.csv
2024,갑천,9,1115,25873,24939,대전교통공사_역별 수송실적_20241231.csv
2024,갑천,10,1115,28822,28362,대전교통공사_역별 수송실적_20241231.csv
2024,갑천,11,1115,29383,28828,대전교통공사_역별 수송실적_20241231.csv
2024,갑천,12,1115,28966,28510,대전교통공사_역별 수송실적_20241231.csv
2026,갑천,1,1115,29390,28899,대전교통공사_역별 수송실적_20260731.csv
2026,갑천,2,1115,26126,25751,대전교통공사_역별 수송실적_20260731.csv
2026,갑천,3,1115,33092,32895,대전교통공사_역별 수송실적_20260731.csv
2026,갑천,4,1115,33730,33731,대전교통공사_역별 수송실적_20260731.csv
2026,갑천,5,1115,32826,32127,대전교통공사_역별 수송실적_20260731.csv
2026,갑천,6,1115,32107,30947,대전교통공사_역별 수송실적_20260731.csv
2026,갑천,7,1115,29888,28871,대전교통공사_역별 수송실적_20260731.csv
2015,구암,1,1117,89259,89604,대전교통공사_역별 수송실적_20151231.csv
2015,구암,2,1117,75926,76938,대전교통공사_역별 수송실적_20151231.csv
2015,구암,3,1117,96399,97715,대전교통공사_역별 수송실적_20151231.csv
2015,구암,4,1117,94239,95656,대전교통공사_역별 수송실적_20151231.csv
2015,구암,5,1117,96546,99503,대전교통공사_역별 수송실적_20151231.csv
2015,구암,6,1117,78156,78765,대전교통공사_역별 수송실적_20151231.csv
2015,구암,7,1117,84465,85268,대전교통공사_역별 수송실적_20151231.csv
2015,구암,8,1117,81521,83306,대전교통공사_역별 수송실적_20151231.csv
2015,구암,9,1117,87210,89368,대전교통공사_역별 수송실적_20151231.csv
2015,구암,10,1117,92689,93799,대전교통공사_역별 수송실적_20151231.csv
2015,구암,11,1117,87916,89174,대전교통공사_역별 수송실적_20151231.csv
2015,구암,12,1117,90104,90327,대전교통공사_역별 수송실적_20151231.csv
2016,구암,1,1117,78840,79907,대전교통공사_역별 수송실적_20161231.csv
2016,구암,2,1117,74222,75929,대전교통공사_역별 수송실적_20161231.csv
2016,구암,3,1117,92142,93780,대전교통공사_역별 수송실적_20161231.csv
2016,구암,4,1117,90289,91703,대전교통공사_역별 수송실적_20161231.csv
2016,구암,5,1117,90439,91698,대전교통공사_역별 수송실적_20161231.csv
2016,구암,6,1117,86169,86191,대전교통공사_역별 수송실적_20161231.csv
2016,구암,7,1117,80815,80173,대전교통공사_역별 수송실적_20161231.csv
2016,구암,8,1117,78210,78664,대전교통공사_역별 수송실적_20161231.csv
2016,구암,9,1117,80568,81895,대전교통공사_역별 수송실적_20161231.csv
2016,구암,10,1117,88443,88507,대전교통공사_역별 수송실적_20161231.csv
2016,구암,11,1117,85515,86721,대전교통공사_역별 수송실적_20161231.csv
2016,구암,12,1117,85275,85470,대전교통공사_역별 수송실적_20161231.csv
2017,구암,1,1117,75582,76083,대전교통공사_역별 수송실적_20171231.csv
2017,구암,2,1117,74865,75632,대전교통공사_역별 수송실적_20171231.csv
